,PM2.5,NO2,CO,SO2,O3,AQI
60,120.96,20.86,4.23,35.54,35.66,303.0
61,138.63,25.47,5.65,87.43,29.77,314.0
62,144.36,30.69,15.82,66.39,27.34,378.0
63,85.03,26.7,3.3,59.16,35.89,415.0
64,61.06,14.03,3.52,8.08,19.54,126.0
65,39.42,19.56,5.28,17.66,31.3,175.0
66,111.86,22.51,3.89,15.84,31.23,226.0
67,58.37,21.71,5.74,25.9,43.92,244.0
68,95.37,26.23,18.01,13.59,41.64,315.0
69,141.3,36.88,30.8,41.06,37.66,678.0
70,106.68,46.38,19.91,31.56,48.49,774.0
71,109.48,20.27,4.3,46.6,31.34,285.0
72,126.04,20.18,6.99,79.56,28.71,321.0
73,71.22,21.32,16.73,50.09,28.39,358.0
74,97.87,17.96,6.3,13.85,34.16,357.0
75,63.38,13.28,3.44,24.79,43.62,189.0
76,80.9,18.62,5.7,65.44,22.8,214.0
77,103.29,19.82,4.55,85.42,22.18,253.0
78,107.5,15.56,5.29,74.37,10.12,239.0
79,138.42,16.7,5.05,77.74,27.18,300.0
80,129.04,14.86,5.69,78.27,18.67,317.0
81,96.65,15.9,4.67,39.41,11.83,240.0
82,126.77,23.93,15.69,93.18,36.71,344.0
83,106.15,23.02,13.12,65.95,81.6,503.0
84,86.31,10.5,2.69,50.13,90.54,308.0
85,83.99,0.08,2.73,34.06,69.57,227.0
86,65.11,4.58,3.14,22.27,32.26,120.0
87,51.03,20.47,6.24,15.5,31.44,158.0
88,38.73,19.28,8.0,20.13,25.7,177.0
89,61.12,17.82,9.94,39.69,25.9,201.0
90,58.44,17.24,10.68,54.69,18.89,211.0
91,61.49,16.69,11.44,42.66,18.2,221.0
92,65.39,16.08,12.3,27.96,22.35,233.0
93,100.92,18.9,20.42,31.9,22.84,481.0
94,97.48,30.02,5.31,36.05,16.26,352.0
95,129.27,28.33,14.28,70.13,25.4,327.0
96,129.58,28.79,21.23,17.66,34.42,577.0
97,100.57,18.79,7.56,38.76,38.83,411.0
98,130.34,17.43,7.14,52.07,29.05,212.0
99,53.24,15.86,8.05,36.23,21.58,280.0
100,42.0,18.16,10.44,17.0,25.5,162.0
101,83.69,17.18,10.89,41.12,35.61,569.0
102,38.88,16.28,2.18,26.4,12.47,128.0
103,46.89,16.17,2.96,41.96,10.74,129.0
104,70.96,15.47,4.12,23.67,16.01,152.0
105,53.66,14.43,4.23,14.46,45.64,176.0
106,45.49,13.73,4.26,12.85,71.85,167.0
107,60.86,16.61,5.27,14.91,41.19,106.0
108,51.93,17.87,13.71,15.33,12.88,231.0
109,77.87,17.12,6.67,46.82,16.67,327.0
110,57.59,15.47,5.6,41.68,25.51,174.0
111,77.22,15.47,7.02,71.97,9.56,185.0
112,45.29,12.74,7.25,18.64,6.32,179.0
113,103.78,13.9,6.36,7.76,15.27,211.0
114,25.14,18.73,6.01,38.05,38.52,192.0
115,87.03,17.88,8.05,23.84,48.22,310.0
116,89.6,19.84,6.59,48.05,44.78,223.0
117,80.69,16.07,6.86,39.85,32.65,192.0
118,44.75,16.53,7.76,9.89,8.07,191.0
119,38.11,11.62,7.41,3.13,6.69,184.0
120,45.5,15.59,8.56,0.76,3.82,220.0
121,36.98,11.52,8.21,0.52,5.17,215.0
122,43.58,13.33,8.26,1.02,7.56,226.0
123,45.49,14.91,9.63,0.81,2.94,251.0
124,38.06,18.57,8.67,1.05,4.63,216.0
125,45.41,20.55,9.35,0.74,4.5,237.0
126,37.71,16.26,8.54,0.87,4.6,198.0
127,32.37,14.36,7.53,2.17,12.17,195.0
128,34.74,13.51,7.59,4.11,12.22,187.0
129,32.56,13.91,7.34,4.04,11.85,181.0
130,29.28,11.68,7.55,4.01,12.64,179.0
131,20.46,10.61,7.15,5.62,12.7,188.0
132,26.07,11.07,7.99,4.1,10.57,190.0
133,21.43,11.16,7.45,4.99,7.38,185.0
134,11.91,10.1,7.34,10.86,5.47,189.0
135,57.75,9.68,8.68,12.28,3.06,196.0
136,66.39,12.79,8.58,11.09,4.96,201.0
137,62.61,9.83,9.15,12.31,6.44,231.0
138,47.5,9.53,8.07,13.91,7.28,196.0
139,111.8,11.51,9.23,5.27,5.99,220.0
140,30.0,13.59,8.87,8.09,6.31,244.0
141,4.66,10.9,9.01,7.31,6.38,223.0
142,48.72,11.94,9.56,5.72,6.61,230.0
143,49.7,9.81,9.43,6.78,6.42,243.0
144,48.1,9.53,8.03,9.33,7.6,215.0
145,47.43,9.45,8.11,7.93,7.08,199.0
146,51.74,12.38,8.91,10.05,5.78,200.0
147,42.68,11.08,9.74,10.87,4.44,226.0
148,38.45,7.8,10.55,10.28,3.24,241.0
149,46.69,0.17,11.48,10.25,5.76,222.0
150,55.27,0.12,11.55,12.7,6.55,223.0
151,149.03,0.16,11.49,10.07,7.27,248.0
152,86.57,0.17,11.47,11.09,6.53,300.0
153,111.77,0.24,11.3,7.73,4.67,232.0
154,151.4,0.36,10.8,7.8,5.46,330.0
155,51.35,2.69,8.0,10.0,5.76,223.0
156,65.37,8.07,0.64,16.31,8.02,105.0
157,56.28,8.02,0.6,18.93,6.2,101.0
158,48.17,8.0,0.65,18.99,7.97,93.0
159,33.56,7.89,0.72,11.28,10.18,67.0
160,31.3,8.1,0.55,10.29,7.44,60.0
161,57.11,8.28,0.55,14.58,2.6,90.0
162,34.72,9.73,0.1,13.62,4.87,78.0
163,29.22,9.57,0.06,13.58,5.08,48.0
164,29.79,8.64,0.14,15.11,5.34,53.0
165,59.95,8.78,0.18,11.52,2.79,91.0
166,19.2,9.45,1.52,11.23,4.61,70.0
167,19.52,11.26,5.89,11.56,4.4,157.0
168,35.16,10.89,5.75,14.7,3.67,158.0
169,33.03,10.58,7.01,12.95,3.53,169.0
170,40.95,10.47,6.92,19.8,3.38,174.0
171,40.29,10.52,6.74,8.27,3.57,173.0
172,41.16,10.51,6.91,13.48,3.69,172.0
173,36.12,11.56,7.21,13.62,6.08,190.0
174,28.51,20.52,6.69,5.69,7.65,171.0
175,31.59,20.42,6.99,9.23,7.9,168.0
176,42.56,20.4,7.17,6.28,9.86,172.0
177,48.12,20.3,7.14,6.77,12.78,173.0
178,37.09,20.21,7.22,8.66,7.94,175.0
179,33.4,20.09,7.4,9.95,8.39,179.0
180,38.64,20.21,7.35,9.74,6.28,174.0
181,40.49,20.23,7.48,8.92,21.51,176.0
182,41.37,20.2,7.47,11.73,19.8,179.0
183,44.56,20.06,7.49,11.23,22.77,175.0
184,65.68,19.94,7.57,8.21,30.21,177.0
185,33.34,20.27,7.3,6.41,32.95,175.0
186,39.17,20.24,7.35,9.17,26.64,174.0
187,34.0,20.1,7.41,9.64,17.17,179.0
188,36.38,20.14,7.31,10.65,13.35,177.0
189,38.35,20.16,7.41,9.33,18.59,180.0
190,38.5,19.67,12.38,10.37,16.33,274.0
191,39.61,14.84,17.31,10.76,5.38,310.0
192,61.79,14.82,17.24,12.39,8.06,303.0
193,43.22,14.82,17.17,11.68,37.87,302.0
194,33.41,14.86,17.12,12.96,86.83,302.0
195,36.9,14.85,17.08,4.73,54.01,302.0
196,36.36,14.79,17.11,8.86,77.3,302.0
197,32.64,14.84,17.01,7.05,62.31,302.0
198,38.23,14.89,17.07,10.9,55.94,302.0
199,39.86,14.83,16.98,10.02,96.83,301.0
200,72.74,14.84,17.04,4.23,99.03,302.0
201,43.2,14.86,17.05,5.96,59.99,302.0
202,63.2,14.82,17.03,3.69,7.57,302.0
203,64.73,14.82,17.01,6.45,12.13,302.0
204,65.28,14.85,17.04,6.13,18.2,301.0
205,67.86,14.87,16.97,8.87,16.53,302.0
206,52.4,14.81,16.97,9.89,22.55,301.0
207,33.33,14.89,16.95,6.88,33.58,302.0
208,29.52,14.88,16.94,8.56,40.65,301.0
209,15.53,14.85,17.0,15.13,34.18,301.0
210,50.24,12.31,9.46,11.63,13.61,226.0
211,61.77,15.43,8.68,8.1,18.69,276.0
212,46.93,11.47,7.14,7.92,19.03,209.0
213,43.01,9.96,6.82,11.58,20.59,179.0
214,42.06,11.35,8.43,11.63,28.09,197.0
215,44.94,10.94,7.14,5.85,59.38,229.0
216,29.58,9.94,6.61,8.82,42.9,170.0
217,32.15,9.7,6.5,9.2,39.02,164.0
218,36.33,12.88,7.68,8.28,43.35,195.0
219,24.46,10.99,8.45,12.59,44.55,220.0
220,59.29,9.68,9.21,5.98,7.69,217.0
221,65.32,9.62,10.61,3.69,4.74,254.0
222,47.39,10.48,9.26,7.72,7.71,241.0
223,43.88,19.75,8.69,4.83,11.53,244.0
224,28.35,13.62,9.05,7.47,15.95,243.0
225,3.59,14.17,11.26,9.6,20.38,244.0
226,3.04,21.5,16.31,13.73,30.05,327.0
227,19.14,30.6,10.33,10.96,29.36,390.0
228,69.12,32.41,8.85,15.63,28.45,231.0
229,76.41,34.7,17.96,15.44,31.49,396.0
230,102.49,37.85,33.31,27.32,24.85,731.0
231,127.94,28.38,11.14,25.59,15.17,466.0
232,87.18,21.51,7.83,6.98,23.17,230.0
233,99.73,30.23,20.16,32.74,20.91,309.0
234,84.15,32.1,15.83,19.37,23.12,519.0
235,92.12,32.5,18.21,31.75,29.97,397.0
236,94.02,36.97,27.14,24.88,23.51,517.0
237,150.27,34.86,15.9,26.35,31.96,653.0
238,118.91,29.22,5.42,79.47,24.89,355.0
239,91.41,23.45,5.19,25.44,6.25,227.0
240,95.9,33.63,10.38,30.06,27.34,316.0
241,137.87,32.98,20.2,21.89,17.41,536.0
242,90.71,25.73,18.12,17.89,26.02,370.0
243,108.68,32.87,17.03,22.59,19.56,551.0
244,98.79,31.2,17.72,26.09,30.19,393.0
245,145.75,34.71,20.61,24.66,95.94,671.0
246,179.43,39.42,52.33,39.15,112.01,969.0
247,170.52,35.22,15.49,34.03,53.98,471.0
248,203.4,36.63,23.03,94.3,5.36,529.0
249,64.66,23.83,4.79,34.4,24.76,213.0
250,78.14,28.93,10.58,44.91,35.56,297.0
251,100.17,34.16,32.27,27.73,23.95,605.0
252,147.35,39.1,34.64,46.09,26.43,691.0
253,206.89,55.67,145.32,20.47,38.0,971.0
254,89.64,25.75,5.42,44.92,43.04,270.0
255,51.72,21.15,1.89,37.31,66.58,188.0
256,54.59,18.33,2.31,19.08,42.43,114.0
257,46.5,12.1,1.22,13.73,61.56,143.0
258,147.18,36.87,33.06,21.24,131.12,557.0
259,191.01,50.11,39.61,40.78,27.9,354.0
260,192.35,29.04,9.39,29.18,33.21,381.0
261,127.64,31.91,6.74,26.94,47.33,355.0
262,27.29,28.12,9.81,1.61,39.26,272.0
263,41.43,31.82,10.45,1.7,28.05,253.0
264,30.16,15.99,10.41,1.6,23.76,256.0
265,29.42,10.11,9.39,1.57,16.42,257.0
266,20.87,7.49,9.04,1.6,14.27,213.0
267,35.08,6.52,8.36,1.63,19.44,218.0
268,40.23,2.79,8.68,1.69,15.16,214.0
269,54.25,2.78,8.11,1.42,18.46,207.0
270,49.04,1.65,7.38,1.44,15.33,169.0
271,46.52,33.24,3.87,15.0,6.9,183.0
272,36.54,20.32,18.76,16.78,11.46,336.0
273,36.87,23.28,26.51,13.74,4.91,468.0
274,46.19,29.66,86.72,14.31,4.77,776.0
275,48.44,30.66,84.21,15.67,4.26,805.0
276,40.18,28.27,72.58,14.63,4.33,705.0
277,33.5,30.42,79.53,14.95,4.81,740.0
278,29.36,29.75,83.72,15.31,3.68,751.0
279,44.59,29.34,89.85,14.18,4.91,798.0
280,50.65,13.0,10.63,13.06,6.21,494.0
281,33.93,13.41,5.06,19.54,6.16,234.0
282,93.34,27.88,9.72,13.18,1.4,327.0
283,38.06,22.63,6.96,14.75,3.47,257.0
284,20.19,18.13,10.41,15.01,4.9,300.0
285,10.45,17.81,12.59,14.26,5.87,309.0
286,29.87,14.69,13.53,14.56,9.6,316.0
287,60.18,13.25,8.64,15.3,13.19,296.0
288,85.1,12.91,8.14,14.51,12.45,240.0
289,55.55,13.45,8.38,16.6,11.84,220.0
290,170.22,17.88,15.47,14.21,10.05,460.0
291,35.05,16.07,7.66,16.13,9.81,341.0
292,37.68,9.49,6.39,16.15,13.7,216.0
293,32.78,12.1,6.08,12.29,13.13,174.0
294,53.5,14.19,12.0,16.32,5.48,252.0
295,48.24,15.52,10.91,16.16,5.98,283.0
296,63.27,13.23,8.82,24.81,8.68,282.0
297,40.43,10.29,7.42,12.24,5.0,189.0
298,31.15,9.94,8.91,21.48,12.97,204.0
299,33.76,12.22,9.15,17.68,8.36,207.0
300,35.95,9.75,10.05,16.66,8.61,218.0
301,58.07,8.67,10.51,21.2,19.87,243.0
302,46.04,8.75,9.72,17.27,10.35,219.0
303,52.27,9.23,10.79,19.62,9.14,247.0
304,46.68,9.3,10.08,17.77,15.97,235.0
305,44.59,7.39,10.47,17.62,11.2,234.0
306,30.81,7.86,9.36,17.58,15.72,217.0
307,47.67,8.39,9.63,16.95,18.89,222.0
308,35.69,8.14,9.38,16.72,14.63,241.0
309,36.44,7.07,9.59,17.76,14.99,225.0
310,33.83,7.82,10.14,17.93,13.9,241.0
311,34.23,7.14,10.17,18.76,13.79,237.0
312,52.15,7.15,10.7,16.32,14.67,251.0
313,35.99,8.65,9.91,19.29,18.16,220.0
314,37.93,9.2,9.75,19.07,15.42,221.0
315,31.94,7.84,9.5,16.87,14.27,226.0
316,18.04,7.02,7.3,15.49,19.0,208.0
317,27.9,9.55,9.52,14.48,21.74,190.0
318,36.51,10.68,10.07,18.22,22.56,250.0
319,55.71,12.86,11.17,17.75,21.14,280.0
320,57.01,11.99,13.68,18.36,20.81,306.0
321,53.94,12.54,10.01,18.85,24.79,249.0
322,49.34,8.67,9.75,15.82,26.39,213.0
323,39.43,10.1,12.67,16.95,11.63,268.0
324,42.33,9.31,11.31,19.61,15.38,267.0
325,26.75,6.77,9.8,19.37,17.5,216.0
326,34.16,5.46,9.66,18.59,17.44,212.0
327,30.07,5.73,9.82,18.28,17.65,214.0
328,25.54,5.56,9.5,15.28,16.47,222.0
329,38.47,5.7,10.63,17.44,17.34,216.0
330,42.55,6.59,10.36,17.85,20.24,236.0
331,38.1,7.04,10.2,18.46,16.83,225.0
332,27.22,6.34,12.02,17.38,12.94,231.0
333,41.81,9.77,10.75,18.03,22.44,298.0
334,75.03,9.47,11.23,17.61,41.28,267.0
335,75.06,6.35,14.78,19.31,6.0,301.0
336,85.36,7.59,14.48,7.63,20.62,311.0
337,124.97,9.72,13.2,6.74,26.4,313.0
338,86.63,6.39,11.74,9.97,20.38,267.0
339,70.34,7.1,11.25,12.49,20.13,232.0
340,50.49,5.04,10.91,13.29,22.39,229.0
341,42.25,6.55,11.07,9.61,24.3,227.0
342,48.23,9.01,11.09,18.51,18.52,236.0
343,138.94,16.9,10.27,66.98,37.01,326.0
344,155.68,19.69,16.66,61.24,33.7,395.0
345,120.35,16.95,20.67,49.8,29.53,507.0
346,140.81,19.3,18.56,15.83,31.21,423.0
347,87.09,13.98,10.15,18.17,29.43,315.0
348,83.57,10.61,7.8,19.72,30.68,213.0
349,75.41,11.07,12.23,26.31,37.64,263.0
350,106.86,10.22,9.38,30.72,36.65,355.0
351,96.53,10.8,9.03,26.45,33.14,362.0
352,76.96,9.04,6.95,28.44,41.7,236.0
353,73.05,8.37,7.04,40.0,40.57,192.0
354,72.52,9.14,7.31,28.08,32.65,230.0
355,109.22,13.21,11.05,60.04,33.06,278.0
356,122.63,16.36,18.84,24.52,31.59,390.0
357,214.36,18.38,19.66,46.6,33.34,509.0
358,381.69,25.41,29.49,49.33,15.74,472.0
359,182.59,18.2,26.06,23.81,41.0,457.0
360,271.85,15.28,16.39,33.31,41.24,721.0
361,230.76,13.35,12.95,19.34,50.18,420.0
362,203.3,14.79,11.74,16.14,47.43,417.0
363,152.03,12.7,10.97,16.78,56.43,390.0
364,176.02,12.78,7.51,66.19,35.0,361.0
365,79.49,28.34,175.81,62.62,18.21,459.0
366,112.25,36.61,104.94,43.78,23.6,1426.0
367,133.07,51.06,70.84,61.91,32.46,1348.0
368,93.96,46.94,71.28,47.05,6.36,1073.0
369,93.7,53.13,55.17,47.28,21.54,952.0
370,96.65,67.28,24.81,67.31,33.84,550.0
371,107.09,95.73,16.58,104.29,44.5,538.0
372,119.02,82.3,17.91,101.88,77.28,498.0
373,83.86,82.94,36.74,90.76,52.82,517.0
374,72.67,108.74,42.99,106.41,27.74,901.0
375,94.32,105.75,62.88,127.84,55.03,929.0
376,89.0,119.82,38.8,131.99,42.9,850.0
377,85.35,105.07,48.64,111.22,62.31,669.0
378,101.25,106.82,51.7,113.03,58.29,1141.0
379,90.02,99.02,47.15,130.27,67.89,707.0
380,119.17,98.11,98.33,110.08,48.07,1577.0
381,207.19,146.18,118.02,160.06,37.21,1747.0
382,148.83,29.79,45.88,113.64,36.02,1065.0
383,85.32,31.48,5.06,124.92,28.71,195.0
384,143.07,73.39,5.85,132.05,42.6,291.0
385,140.88,76.05,6.11,130.2,26.06,313.0
386,99.77,73.33,10.23,99.05,37.6,333.0
387,119.99,73.41,6.84,81.21,48.09,338.0
388,111.92,81.11,15.17,112.56,62.34,371.0
389,96.51,84.06,15.07,102.74,74.34,463.0
390,80.52,88.07,24.0,118.4,55.49,419.0
391,92.8,102.15,45.76,143.12,55.83,700.0
392,102.26,111.94,37.88,140.1,45.65,1043.0
393,108.19,109.21,55.69,117.82,47.4,1029.0
394,93.87,102.93,69.71,122.74,43.8,1041.0
395,109.53,117.71,55.08,123.22,43.0,1430.0
396,79.34,106.33,14.63,113.88,54.62,765.0
397,93.05,94.66,40.22,104.74,60.03,599.0
398,85.51,98.09,30.39,107.36,40.02,764.0
399,80.89,71.52,6.14,103.62,78.13,330.0
400,58.62,61.64,5.49,88.67,86.71,205.0
401,68.53,61.38,5.78,85.69,88.35,164.0
402,81.38,55.07,5.9,58.91,39.29,187.0
403,56.54,32.13,5.46,31.81,66.39,149.0
404,74.08,57.73,7.19,45.02,40.27,215.0
405,62.76,62.02,5.58,74.08,83.18,284.0
406,86.09,72.14,5.9,114.3,59.39,167.0
407,59.74,77.12,26.28,98.31,42.01,337.0
408,87.13,56.52,28.06,115.96,53.61,696.0
409,52.15,65.44,15.98,86.58,58.81,295.0
410,67.51,88.83,20.79,112.57,51.5,565.0
411,70.08,81.65,11.42,116.77,61.73,400.0
412,86.9,76.2,7.54,105.41,72.02,250.0
413,77.34,61.41,6.33,102.44,75.64,232.0
414,65.93,45.55,5.7,99.74,105.69,174.0
415,66.58,62.16,7.16,98.89,66.87,198.0
416,62.24,88.65,17.88,109.76,48.64,340.0
417,62.07,72.18,8.72,102.25,56.86,355.0
418,72.04,73.92,7.78,114.05,73.53,246.0
419,67.44,62.74,5.95,99.05,93.19,216.0
420,77.76,78.94,25.81,110.69,79.46,306.0
421,96.71,101.08,19.89,127.91,54.97,650.0
422,75.14,89.68,29.6,116.39,67.14,515.0
423,69.27,79.33,15.17,85.87,65.28,529.0
424,71.54,89.06,26.95,111.43,65.58,404.0
425,104.13,101.35,43.47,113.39,58.08,773.0
426,88.93,93.2,30.55,112.46,61.52,763.0
427,82.03,92.12,14.9,113.34,65.25,474.0
428,84.43,74.68,6.85,115.41,90.79,343.0
429,84.46,87.62,7.58,102.36,69.02,278.0
430,76.51,76.69,9.26,103.46,93.51,256.0
431,63.88,69.32,13.87,70.3,105.33,300.0
432,81.1,109.07,19.42,93.3,65.69,532.0
433,73.61,173.08,25.96,93.86,36.51,534.0
434,75.79,146.8,31.55,113.82,41.95,738.0
435,77.87,137.62,23.19,107.58,50.46,622.0
436,77.72,135.66,8.91,101.93,48.73,517.0
437,66.89,92.57,5.86,89.53,68.56,216.0
438,74.57,133.53,16.31,103.2,55.23,316.0
439,89.1,137.16,44.57,92.55,59.41,586.0
440,110.34,150.93,30.4,95.48,47.58,898.0
441,82.53,150.48,20.58,106.65,43.23,421.0
442,108.01,132.63,22.69,86.78,10.99,542.0
443,92.94,114.26,14.34,83.85,51.68,610.0
444,87.3,163.43,44.01,127.99,12.21,716.0
445,89.06,132.69,29.54,119.07,41.74,804.0
446,51.61,127.3,32.42,100.99,31.7,656.0
447,91.13,169.17,65.07,128.78,25.03,1201.0
448,108.92,273.39,30.7,113.34,59.23,595.0
449,89.63,141.29,9.92,124.11,70.9,384.0
450,55.27,86.96,29.44,91.67,47.71,332.0
451,97.88,123.1,52.63,100.55,40.9,1155.0
452,128.56,160.65,89.57,124.43,40.06,1355.0
453,103.63,173.52,52.92,96.19,43.5,1367.0
454,102.16,145.55,15.17,137.02,63.22,795.0
455,89.53,122.51,35.38,156.59,83.69,430.0
456,101.92,189.67,65.27,125.54,41.52,1153.0
457,117.99,203.41,83.78,147.58,41.0,1414.0
458,115.79,166.11,42.54,151.92,32.24,1042.0
459,189.12,178.13,94.0,168.44,39.06,1613.0
460,88.37,155.73,15.14,106.29,44.14,433.0
461,96.64,201.59,73.16,146.13,7.97,692.0
462,98.0,201.17,71.48,146.25,7.94,620.0
463,93.31,186.16,49.85,142.83,32.93,617.0
464,104.89,153.96,25.46,121.22,38.11,590.0
465,109.34,156.18,27.03,121.57,49.84,856.0
466,70.25,140.78,48.11,97.56,55.79,587.0
467,103.17,173.67,108.99,125.46,42.09,1423.0
468,185.77,172.84,124.01,120.94,40.97,1917.0
469,84.48,99.65,20.33,151.24,29.52,471.0
470,89.41,130.93,28.93,110.86,34.08,488.0
471,64.61,117.16,10.31,104.81,51.44,471.0
472,65.35,104.31,6.17,59.29,64.67,172.0
473,52.18,106.89,32.36,84.2,62.74,390.0
474,75.13,176.38,36.67,124.9,67.84,802.0
475,83.65,180.34,47.49,130.27,47.95,1035.0
476,220.49,177.19,108.73,133.39,41.76,1477.0
477,114.78,159.18,74.41,122.06,32.35,1314.0
478,92.92,164.78,66.96,123.47,46.91,1215.0
479,91.66,135.71,92.86,108.4,46.15,1483.0
480,138.4,141.97,134.85,127.68,25.63,1526.0
481,49.18,135.69,30.05,123.83,40.63,460.0
482,56.42,152.62,35.02,124.25,44.79,700.0
483,60.36,177.23,18.78,124.95,51.14,831.0
484,54.45,116.22,8.51,167.13,9.36,291.0
485,41.64,104.44,13.79,109.4,63.12,212.0
486,32.36,78.27,25.68,71.59,44.82,717.0
487,29.98,114.5,22.14,97.02,37.0,525.0
488,33.3,128.12,52.23,99.65,42.05,777.0
489,56.51,121.56,10.58,81.19,54.42,807.0
490,88.85,147.44,46.93,82.23,67.24,520.0
491,111.68,119.71,41.3,94.48,53.57,1171.0
492,114.06,131.09,52.37,82.54,56.94,1332.0
493,116.93,118.96,31.48,98.31,53.2,1260.0
494,84.19,136.64,51.41,101.89,50.69,708.0
495,98.53,101.27,70.03,82.76,38.63,1108.0
496,84.16,91.61,17.12,72.88,24.38,761.0
497,71.82,77.57,37.72,59.98,46.07,541.0
498,80.51,83.56,80.75,45.11,36.86,1274.0
499,133.48,112.13,54.16,93.54,45.02,1241.0
500,116.54,140.86,45.17,118.35,10.65,1210.0
501,160.68,97.06,14.93,51.32,59.78,549.0
502,102.05,81.15,15.35,57.4,47.29,414.0
503,100.33,92.44,9.58,37.78,60.16,484.0
504,99.73,152.23,30.04,75.71,62.24,577.0
505,104.22,142.95,39.51,72.1,52.74,862.0
506,109.8,132.61,30.62,99.72,57.77,889.0
507,124.44,147.48,42.25,119.98,51.56,1001.0
508,180.27,156.21,63.29,118.43,50.27,1156.0
509,138.6,93.81,13.28,116.67,55.1,691.0
510,139.21,148.06,61.15,103.12,63.73,308.0
511,154.09,101.12,51.8,111.55,48.08,965.0
512,121.0,93.59,14.95,119.43,50.94,1434.0
513,80.56,126.32,44.37,118.21,52.22,579.0
514,103.75,98.54,22.81,117.34,50.17,1034.0
515,75.68,70.57,10.93,106.94,68.45,498.0
516,62.83,68.69,21.11,67.09,71.3,265.0
517,104.23,69.08,40.3,19.21,42.57,740.0
518,91.04,64.6,5.88,74.09,29.65,856.0
519,90.13,81.38,15.24,73.62,73.07,304.0
520,160.43,65.53,19.45,49.95,55.47,657.0
521,94.55,58.27,20.11,51.53,57.33,403.0
522,124.59,67.31,30.88,82.97,27.52,596.0
523,92.5,61.82,18.14,77.85,22.98,392.0
524,86.29,60.84,16.35,82.34,31.03,414.0
525,104.21,72.51,22.52,65.42,39.14,442.0
526,88.5,60.36,26.61,3.3,32.95,438.0
527,84.47,61.41,23.17,3.3,45.89,561.0
528,53.89,58.22,31.91,18.91,60.58,616.0
529,60.08,47.34,48.77,22.65,51.62,855.0
530,53.13,44.61,12.2,94.03,36.42,633.0
531,71.3,35.8,7.93,63.28,34.83,274.0
532,37.9,31.24,4.96,16.31,34.76,210.0
533,78.18,71.56,20.3,51.41,10.44,478.0
534,56.35,86.03,25.34,15.96,77.4,465.0
